exam_year,exam_season,main_category,sub_category,topic_tags,question_text,answer_a,answer_b,answer_c,answer_d,correct_answer,difficulty,points,explanation,hint,frequency
2024,Frühjahr,NETZWERKTECHNIK,IP-Adressierung,"IPv4,Subnetting,CIDR","Ein Unternehmen hat das Netzwerk 192.168.100.0/24 zugeteilt bekommen. Wie viele Hosts können maximal in diesem Netzwerk adressiert werden?","254","255","256","253","254",2,3,"In einem /24 Netzwerk sind 256 Adressen verfügbar (2^8). Davon sind die Netzwerkadresse (erste) und Broadcast-Adresse (letzte) reserviert. Somit bleiben 256-2=254 nutzbare Host-Adressen.","Denken Sie an die reservierten Adressen!",25
2024,Frühjahr,BETRIEBLICHE_ORGANISATION,Projektmanagement,"Scrum,Agile,Sprint","Wie lange dauert ein Sprint im Scrum-Framework typischerweise?","1-4 Wochen","1-2 Tage","2-3 Monate","6 Monate","1-4 Wochen",1,2,"Ein Sprint ist ein fest definierter Zeitraum (Timebox) im Scrum-Framework. Die Dauer beträgt üblicherweise zwischen einer und vier Wochen, wobei zwei Wochen am häufigsten gewählt werden.","Sprint = kurzer, fester Zeitraum",30
2024,Frühjahr,DATENBANKEN,SQL-Grundlagen,"SQL,SELECT,JOIN","Welche SQL-Anweisung zeigt alle Kunden aus der Tabelle 'customers' an, die in Berlin wohnen?","SELECT * FROM customers WHERE city = 'Berlin'","SELECT ALL FROM customers WHERE city == 'Berlin'","GET * FROM customers WHERE city = 'Berlin'","SHOW customers WHERE city = 'Berlin'","SELECT * FROM customers WHERE city = 'Berlin'",2,3,"Die korrekte SQL-Syntax für eine Abfrage verwendet SELECT * FROM tabellenname WHERE bedingung. Der Vergleichsoperator in SQL ist ein einfaches '=' (nicht '==').","SELECT-FROM-WHERE Struktur beachten",40
2024,Frühjahr,HARDWARE,Speichertechnologie,"RAID,Redundanz,Performance","Welches RAID-Level bietet sowohl Redundanz als auch verbesserte Performance durch Striping und Mirroring?","RAID 0","RAID 1","RAID 5","RAID 10","RAID 10",3,3,"RAID 10 (auch RAID 1+0) kombiniert RAID 1 (Mirroring) mit RAID 0 (Striping). Es bietet sowohl Redundanz durch Spiegelung als auch Performance durch Striping. Mindestens 4 Festplatten sind erforderlich.","RAID 10 = 1+0 = Mirror + Stripe",35
2024,Frühjahr,BETRIEBLICHE_ORGANISATION,Wirtschaftlichkeit,"TCO,ROI,Kosten","Ein Server kostet 10.000€ in der Anschaffung. Die jährlichen Betriebskosten betragen 2.000€. Wie hoch ist die TCO nach 3 Jahren?","12.000€","14.000€","16.000€","30.000€","16.000€",2,4,"Total Cost of Ownership (TCO) = Anschaffungskosten + (Betriebskosten × Jahre) = 10.000€ + (2.000€ × 3) = 16.000€","TCO = Anschaffung + laufende Kosten",28
2024,Frühjahr,NETZWERKTECHNIK,OSI-Modell,"OSI,TCP/IP,Schichten","Auf welcher Schicht des OSI-Modells arbeitet ein Switch?","Schicht 1 (Physical)","Schicht 2 (Data Link)","Schicht 3 (Network)","Schicht 4 (Transport)","Schicht 2 (Data Link)",2,3,"Ein Switch arbeitet auf Schicht 2 (Data Link Layer) des OSI-Modells. Er verwendet MAC-Adressen zur Weiterleitung von Frames innerhalb eines lokalen Netzwerks.","Switch = MAC-Adressen = Layer 2",45
2024,Frühjahr,SOFTWARE,Betriebssysteme,"Backup,Datensicherung,Recovery","Bei welcher Backup-Strategie werden nur die seit dem letzten Voll-Backup geänderten Daten gesichert?","Inkrementelles Backup","Differentielles Backup","Vollbackup","Snapshot","Differentielles Backup",2,3,"Beim differentiellen Backup werden alle Änderungen seit dem letzten Vollbackup gesichert. Im Gegensatz zum inkrementellen Backup, das nur Änderungen seit dem letzten Backup (egal welcher Art) sichert.","Differentiell = Alles seit Vollbackup",32
2023,Herbst,BETRIEBLICHE_ORGANISATION,Datenschutz,"DSGVO,Personenbezogen,Rechte","Innerhalb welcher Frist muss ein Unternehmen nach DSGVO auf eine Auskunftsanfrage reagieren?","Sofort","1 Woche","1 Monat","3 Monate","1 Monat",2,3,"Nach Art. 12 Abs. 3 DSGVO muss der Verantwortliche Informationen unverzüglich, spätestens aber innerhalb eines Monats nach Eingang des Antrags zur Verfügung stellen.","DSGVO-Frist = 1 Monat Standard",38
2023,Herbst,NETZWERKTECHNIK,Protokolle,"HTTP,HTTPS,Ports,TCP","Welcher Standard-Port wird für HTTPS verwendet?","80","443","8080","8443","443",1,2,"HTTPS (HTTP Secure) verwendet standardmäßig Port 443. HTTP ohne Verschlüsselung nutzt Port 80. Diese Ports sind bei IANA registriert und weltweit standardisiert.","HTTPS = Secure = 443",50
2023,Herbst,DATENBANKEN,Normalisierung,"Normalisierung,3NF,Redundanz","Was ist das Hauptziel der Normalisierung in relationalen Datenbanken?","Performance verbessern","Speicherplatz sparen","Redundanzen vermeiden","Tabellen vergrößern","Redundanzen vermeiden",2,3,"Das Hauptziel der Normalisierung ist die Vermeidung von Redundanzen und damit verbundenen Anomalien (Update-, Insert-, Delete-Anomalien). Dies führt zu konsistenten und wartbaren Datenbanken.","Normalisierung = Keine Redundanz",25
