topic,subtopic,question,answerA,answerB,answerC,answerD,correctAnswer,difficulty,explanation,tags
"Geschäftsprozesse","Projektmanagement","Was sind die typischen Hauptphasen im Wasserfallmodell?","Analyse-Design-Test","Planung-Durchführung-Abschluss","Initiierung-Planung-Ausführung-Überwachung-Abschluss","Vorbereitung-Umsetzung-Nachbereitung","C","LEICHT","Projektmanagement nach PMBOK: Initiierung, Planung, Ausführung, Überwachung & Steuerung, Abschluss","projektmanagement;wasserfall"
"Geschäftsprozesse","Wirtschaftlichkeit","Eine Investition kostet 50.000€ und bringt jährlich 15.000€ Gewinn. Wie ist der ROI nach 4 Jahren?","20%","30%","40%","120%","D","MITTEL","ROI = (Gesamtgewinn - Investition) / Investition × 100 = (60.000 - 50.000) / 50.000 × 100 = 120%","roi;wirtschaftlichkeit"
"Geschäftsprozesse","Datenschutz","Innerhalb welcher Frist muss nach DSGVO auf Auskunftsersuchen geantwortet werden?","Sofort","1 Woche","1 Monat","3 Monate","C","LEICHT","Art. 12 Abs. 3 DSGVO: Unverzüglich, spätestens binnen eines Monats","dsgvo;datenschutz"
"Netzwerktechnik","IP-Adressierung","Wie viele nutzbare Host-Adressen hat das Netz 192.168.10.0/26?","62","64","126","254","A","MITTEL","/26 = 6 Bits für Hosts = 64 Adressen - 2 (Netz+Broadcast) = 62 nutzbare","subnetting;ipv4"
"Netzwerktechnik","OSI-Modell","Auf welcher OSI-Schicht arbeitet ein Switch?","Schicht 1","Schicht 2","Schicht 3","Schicht 4","B","LEICHT","Switch arbeitet mit MAC-Adressen auf Layer 2 (Data Link)","osi;switch;layer2"
"Netzwerktechnik","Protokolle","Welcher Port wird standardmäßig für HTTPS verwendet?","80","443","8080","8443","B","LEICHT","HTTPS = HTTP Secure über TLS/SSL auf Port 443","https;ports;tcp"
"IT-Systeme","Hardware","Was bedeutet Hyperthreading bei Intel-CPUs?","Doppelte Kerne","Virtuelle Threads pro Kern","Höhere Taktrate","Mehr Cache","B","MITTEL","Hyperthreading simuliert 2 logische Prozessoren pro physischem Kern","cpu;hyperthreading;intel"
"IT-Systeme","Speicher","Was ist CAS-Latency bei RAM?","Kapazität","Verzögerung beim Zugriff","Taktfrequenz","Spannung","B","SCHWER","CAS = Column Address Strobe Latency, Zeit bis Daten bereit","ram;latency;performance"
"IT-Systeme","RAID","Welches RAID bietet beste Performance ohne Redundanz?","RAID 0","RAID 1","RAID 5","RAID 10","A","LEICHT","RAID 0 = Striping ohne Parität, maximale Performance","raid;storage;performance"
"Datenbanken","SQL","Welche SQL-Anweisung zeigt nur Kunden aus Berlin?","SELECT * FROM kunden WHERE stadt = Berlin","SELECT * FROM kunden WHERE stadt = 'Berlin'","GET * FROM kunden WHERE stadt = 'Berlin'","SHOW kunden WHERE stadt = 'Berlin'","B","LEICHT","Strings in SQL müssen in einfachen Anführungszeichen stehen","sql;select;where"
"Datenbanken","Normalisierung","Was fordert die 1. Normalform?","Keine Redundanzen","Atomare Werte","Funktionale Abhängigkeiten","Primärschlüssel","B","MITTEL","1NF: Alle Attribute müssen atomare (unteilbare) Werte enthalten","normalisierung;1nf;datenbank"
"Datenbanken","Beziehungen","Was bedeutet die Kardinalität 1:n?","Eins zu eins","Eins zu viele","Viele zu viele","Null zu eins","B","LEICHT","1:n = Ein Datensatz der ersten Tabelle kann mehrere der zweiten haben","kardinalität;er-modell"
"Programmierung","Java","Was ist Vererbung in der OOP?","Daten kopieren","Eigenschaften übertragen","Methoden ausführen","Objekte erstellen","B","MITTEL","Vererbung: Kindklasse erbt Eigenschaften und Methoden der Elternklasse","oop;vererbung;java"
"Programmierung","Algorithmen","Welche Zeitkomplexität hat Quicksort im Durchschnitt?","O(n)","O(n log n)","O(n²)","O(log n)","B","SCHWER","Quicksort: Best/Average O(n log n), Worst O(n²)","algorithmen;quicksort;komplexität"
"Sicherheit","Verschlüsselung","Was charakterisiert symmetrische Verschlüsselung?","Öffentlicher Schlüssel","Gleicher Schlüssel","Zwei Schlüssel","Kein Schlüssel","B","LEICHT","Symmetrisch = gleicher Schlüssel für Ver- und Entschlüsselung","verschlüsselung;symmetrisch;kryptografie"
"Sicherheit","Angriffe","Was ist ein DDoS-Angriff?","Daten stehlen","Server überlasten","Passwörter knacken","Malware verbreiten","B","MITTEL","Distributed Denial of Service = verteilte Überlastung des Servers","ddos;angriffe;sicherheit"
"Wirtschaft","Kostenrechnung","Was sind Fixkosten?","Kosten pro Stück","Unveränderliche Kosten","Lohnkosten","Materialkosten","B","LEICHT","Fixkosten bleiben konstant, unabhängig von der Produktionsmenge","kostenrechnung;fixkosten"
"Wirtschaft","Vertragsrecht","Was schuldet ein Werkvertrag?","Zeit","Erfolg","Beratung","Material","B","MITTEL","Werkvertrag schuldet Erfolg (fertiges Werk), Dienstvertrag nur Tätigkeit","werkvertrag;vertragsrecht"
"Wirtschaft","Arbeitsrecht","Wie lang ist die Kündigungsfrist in der Probezeit?","1 Tag","2 Wochen","1 Monat","3 Monate","B","LEICHT","§ 622 BGB: In der Probezeit 2 Wochen zum Ende einer Kalenderwoche","arbeitsrecht;kündigung;probezeit"
"Geschäftsprozesse","Qualitätsmanagement","Was regelt die ISO 9001?","Umweltmanagement","Qualitätsmanagement","Datenschutz","Sicherheit","B","LEICHT","ISO 9001 ist der Standard für Qualitätsmanagementsysteme","iso9001;qualitätsmanagement"
