topic,subtopic,question,optionA,optionB,optionC,optionD,correctAnswer,difficulty,explanation,tags
"Netzwerktechnik","IP-Adressierung","Wie viele nutzbare Host-Adressen hat das Netz 192.168.1.0/28?","14","16","30","32","A","2","Bei /28 bleiben 4 Bits für Hosts = 16 Adressen - 2 (Netz+Broadcast) = 14 nutzbare.","subnetting,ipv4,cidr"
"Netzwerktechnik","OSI-Modell","Auf welcher OSI-Schicht arbeitet ein Switch?","Schicht 1","Schicht 2","Schicht 3","Schicht 4","B","1","Switch arbeitet auf Layer 2 (Data Link Layer) mit MAC-Adressen.","osi,switch,layer2"
"Netzwerktechnik","VLAN","Was ist der Hauptzweck von VLANs?","Geschwindigkeit erhöhen","Logische Netzwerksegmentierung","Kabel sparen","Internet-Zugang","B","2","VLANs trennen Broadcast-Domänen und erhöhen die Sicherheit durch logische Segmentierung.","vlan,segmentierung,sicherheit"
"Netzwerktechnik","DNS","Welcher DNS-Record-Typ definiert einen Mailserver?","A","MX","CNAME","PTR","B","1","MX (Mail Exchange) Records definieren die Mailserver einer Domain.","dns,mx,mailserver"
"Netzwerktechnik","TCP/IP","Welcher Port wird standardmäßig für HTTPS verwendet?","80","443","8080","3389","B","1","HTTPS verwendet standardmäßig Port 443 für verschlüsselte Verbindungen.","https,port,tcp"
"Netzwerktechnik","Routing","Was macht ein Default Gateway?","Speichert Passwörter","Routet Pakete aus dem lokalen Netz","Vergibt IP-Adressen","Filtert Spam","B","2","Default Gateway ist der Router, der Pakete aus dem lokalen Netz weiterleitet.","routing,gateway,router"
"Netzwerktechnik","DHCP","Was vergibt ein DHCP-Server NICHT?","IP-Adresse","Subnetzmaske","MAC-Adresse","DNS-Server","C","1","MAC-Adressen sind hardwaregebunden und werden nicht von DHCP vergeben.","dhcp,mac,netzwerk"
"Netzwerktechnik","Subnetting","Was ist die Netzwerkadresse von 172.16.45.123/20?","172.16.32.0","172.16.40.0","172.16.45.0","172.16.0.0","A","3","Bei /20 sind 20 Bits Netzanteil. 45 = 00101101, mit Maske wird daraus 32 = 00100000.","subnetting,netzadresse,ipv4"
"Netzwerktechnik","WLAN","Welcher WLAN-Standard bietet theoretisch bis zu 9,6 Gbit/s?","802.11n","802.11ac","802.11ax","802.11g","C","2","802.11ax (Wi-Fi 6) erreicht theoretisch bis zu 9,6 Gbit/s.","wlan,wifi6,standard"
"Netzwerktechnik","Firewall","Was ist eine DMZ?","Demilitarisierte Zone","Daten-Management-Zone","Direct Memory Zone","Dynamic Management Zone","A","2","DMZ = Netzwerksegment zwischen internem Netz und Internet für öffentliche Dienste.","firewall,dmz,sicherheit"
"Netzwerktechnik","IPv6","Wie lang ist eine IPv6-Adresse?","32 Bit","64 Bit","128 Bit","256 Bit","C","1","IPv6-Adressen sind 128 Bit lang (8 Blöcke à 16 Bit in Hexadezimal).","ipv6,adresse,protokoll"
"Netzwerktechnik","NAT","Was macht Network Address Translation?","Verschlüsselt Daten","Übersetzt private in öffentliche IPs","Komprimiert Pakete","Priorisiert Traffic","B","2","NAT übersetzt private IP-Adressen in öffentliche für Internet-Kommunikation.","nat,ip,translation"
"Netzwerktechnik","Spanning Tree","Wozu dient das Spanning Tree Protocol?","Bandbreite erhöhen","Schleifen verhindern","Verschlüsselung","Kompression","B","2","STP verhindert Schleifen in redundanten Switch-Netzwerken.","stp,switch,schleife"
"Netzwerktechnik","QoS","Was bedeutet Quality of Service?","Servicequalität des Supports","Priorisierung von Netzwerkverkehr","Qualität der Hardware","Verschlüsselungsstärke","B","2","QoS priorisiert wichtigen Traffic (z.B. VoIP) gegenüber unwichtigem.","qos,priorisierung,traffic"
"Netzwerktechnik","VPN","Welches Protokoll wird oft für Site-to-Site VPNs verwendet?","HTTP","FTP","IPSec","POP3","C","2","IPSec ist ein verbreitetes Protokoll für sichere Site-to-Site VPN-Verbindungen.","vpn,ipsec,sicherheit"
"Netzwerktechnik","Load Balancing","Was ist der Zweck von Load Balancing?","Lastverteilung auf mehrere Server","Datensicherung","Virenschutz","Bandbreitenbegrenzung","A","1","Load Balancer verteilen Anfragen gleichmäßig auf mehrere Server.","loadbalancing,server,verteilung"
"Netzwerktechnik","ARP","Was macht das ARP-Protokoll?","Löst IP in MAC-Adressen auf","Verschlüsselt Passwörter","Komprimiert Dateien","Routet Pakete","A","2","ARP (Address Resolution Protocol) ermittelt MAC-Adressen zu IP-Adressen.","arp,mac,protokoll"
"Netzwerktechnik","Proxy","Was ist ein Forward Proxy?","Server für Clients","Server für Server","Backup-Server","Mail-Server","A","2","Forward Proxy agiert als Vermittler zwischen Client und Internet.","proxy,forward,server"
"Netzwerktechnik","802.1X","Wofür wird 802.1X verwendet?","Netzwerk-Authentifizierung","Datenkompression","Fehlerkorrektur","Geschwindigkeitserhöhung","A","2","802.1X ist ein Standard für portbasierte Netzwerk-Authentifizierung.","802.1x,authentifizierung,sicherheit"
"Netzwerktechnik","Multicast","Was ist der Vorteil von Multicast?","Höhere Geschwindigkeit","Effiziente Übertragung an mehrere Empfänger","Bessere Verschlüsselung","Einfachere Konfiguration","B","2","Multicast sendet Daten einmal an mehrere Empfänger gleichzeitig.","multicast,übertragung,effizienz"
