topic,subtopic,question,optionA,optionB,optionC,optionD,correctAnswer,difficulty,explanation,tags
"Programmierung","Datentypen","Welcher Datentyp eignet sich für Geldbeträge?","float","double","decimal","int","C","2","Decimal vermeidet Rundungsfehler bei Geldbeträgen, float/double können zu Ungenauigkeiten führen.","datentypen,decimal,genauigkeit"
"Programmierung","OOP","Was ist Vererbung in der Objektorientierung?","Kopieren von Code","Weitergabe von Eigenschaften an Unterklassen","Löschen von Objekten","Speicherverwaltung","B","1","Vererbung ermöglicht es, Eigenschaften und Methoden an abgeleitete Klassen weiterzugeben.","oop,vererbung,klassen"
"Programmierung","Algorithmen","Was ist die Zeitkomplexität von Bubble Sort?","O(n)","O(n log n)","O(n²)","O(1)","C","2","Bubble Sort hat im Average und Worst Case eine quadratische Laufzeit O(n²).","algorithmen,komplexität,sort"
"Programmierung","Datenstrukturen","Welche Datenstruktur arbeitet nach LIFO-Prinzip?","Queue","Stack","Array","Tree","B","1","Stack (Stapel) arbeitet nach Last-In-First-Out Prinzip.","datenstrukturen,stack,lifo"
"Programmierung","SQL","Welcher SQL-Befehl fügt Daten ein?","SELECT","INSERT","UPDATE","DELETE","B","1","INSERT INTO fügt neue Datensätze in eine Tabelle ein.","sql,insert,datenbank"
"Programmierung","Versionskontrolle","Was macht 'git commit'?","Lädt Änderungen herunter","Speichert Änderungen lokal","Lädt Änderungen hoch","Löscht Dateien","B","1","git commit speichert Änderungen im lokalen Repository.","git,commit,versionskontrolle"
"Programmierung","Fehlerbehandlung","Was ist ein Try-Catch-Block?","Schleife","Exception-Handling","Verzweigung","Kommentar","B","1","Try-Catch fängt und behandelt Ausnahmen/Fehler im Code.","exception,fehler,trycatch"
"Programmierung","Design Patterns","Was ist das Singleton-Pattern?","Mehrere Instanzen","Genau eine Instanz","Keine Instanz","Zufällige Instanzen","B","2","Singleton stellt sicher, dass nur eine Instanz einer Klasse existiert.","pattern,singleton,design"
"Programmierung","Testing","Was ist Unit Testing?","Test der gesamten Anwendung","Test einzelner Komponenten","Test der Benutzeroberfläche","Performance-Test","B","1","Unit Tests prüfen einzelne, isolierte Einheiten des Codes.","testing,unittest,qualität"
"Programmierung","Rekursion","Was ist Rekursion?","Schleife","Funktion ruft sich selbst auf","Fehlerbehandlung","Parallelverarbeitung","B","2","Rekursion ist eine Technik, bei der eine Funktion sich selbst aufruft.","rekursion,funktion,algorithmus"
"Programmierung","API","Was bedeutet REST?","Representational State Transfer","Remote Execution Service Tool","Real-time System Technology","Resource Extraction Standard","A","2","REST ist ein Architekturstil für Web-Services.","rest,api,webservice"
"Programmierung","Compiler","Was ist der Unterschied zwischen Compiler und Interpreter?","Kein Unterschied","Compiler übersetzt komplett, Interpreter zeilenweise","Compiler ist langsamer","Interpreter erstellt exe-Dateien","B","2","Compiler übersetzt den gesamten Code vor Ausführung, Interpreter zur Laufzeit.","compiler,interpreter,übersetzung"
"Programmierung","Memory Management","Was ist ein Memory Leak?","Zu wenig RAM","Nicht freigegebener Speicher","Defekter RAM","Virus","B","2","Memory Leak entsteht, wenn reservierter Speicher nicht freigegeben wird.","memory,leak,speicher"
"Programmierung","Threads","Was ist Multithreading?","Mehrere Programme","Parallele Ausführung in einem Programm","Mehrere Computer","Backup-System","B","2","Multithreading ermöglicht parallele Ausführung mehrerer Threads in einem Prozess.","thread,parallel,multithreading"
"Programmierung","Datenbanken","Was ist Normalisierung?","Datenverschlüsselung","Beseitigung von Redundanzen","Datenkompression","Backup-Erstellung","B","2","Normalisierung strukturiert Datenbanken zur Vermeidung von Redundanzen.","datenbank,normalisierung,redundanz"
"Programmierung","Sicherheit","Was ist SQL-Injection?","Datenbank-Backup","Sicherheitslücke durch Eingaben","Verschlüsselung","Performance-Optimierung","B","1","SQL-Injection nutzt unsichere Eingabeverarbeitung für Datenbankmanipulation.","sicherheit,sql,injection"
"Programmierung","Frameworks","Was ist ein Framework?","Programmiersprache","Wiederverwendbare Software-Plattform","Betriebssystem","Hardware","B","1","Framework bietet eine wiederverwendbare Struktur für Softwareentwicklung.","framework,entwicklung,plattform"
"Programmierung","Debugging","Was ist ein Breakpoint?","Fehler im Code","Haltepunkt beim Debugging","Systemabsturz","Sicherheitslücke","B","1","Breakpoint pausiert Programmausführung an definierter Stelle zum Debugging.","debugging,breakpoint,fehlersuche"
"Programmierung","Arrays","Was ist der Index des ersten Elements in den meisten Programmiersprachen?","1","0","-1","null","B","1","Die meisten Sprachen verwenden 0-basierte Indizierung für Arrays.","array,index,programmierung"
"Programmierung","Logik","Was ergibt: true AND false?","true","false","null","error","B","1","AND ergibt nur true, wenn beide Operanden true sind.","logik,boolean,and"
