topic,subtopic,question,optionA,optionB,optionC,optionD,correctAnswer,difficulty,explanation,tags
"Hardware","Multifunktionsgeräte","Welches Kriterium ist bei der Auswahl eines Multifunktionsgeräts für eine Kanzlei mit hohem Druckaufkommen am wichtigsten?","Druckqualität","Geschwindigkeit Druck","Wartungskosten","Tonermenge","B","2","Bei hohem Druckaufkommen (2000 Seiten SW/500 Farbe) ist die Druckgeschwindigkeit entscheidend für effiziente Arbeitsabläufe.","hardware,drucker,auswahl"
"Hardware","Anschlüsse","Welche Anschlüsse sind typisch für moderne Multifunktionsgeräte?","RJ45, USB Typ A, USB Typ C","VGA, HDMI, DisplayPort","PS/2, Parallel, Serial","FireWire, Thunderbolt, eSATA","A","1","Moderne Multifunktionsgeräte nutzen RJ45 für Netzwerk, USB Typ A für Peripherie und USB Typ C für moderne Geräte.","hardware,anschlüsse,drucker"
"Wirtschaft","Kostenrechnung","Wie berechnet man die monatlichen Druckkosten bei 0,05 EUR pro SW-Seite und 2000 Seiten/Monat?","50 EUR","100 EUR","150 EUR","200 EUR","B","1","2000 Seiten × 0,05 EUR = 100 EUR pro Monat","kostenrechnung,druck,wirtschaft"
"Netzwerk","Symbole","Was bedeutet das WLAN-Symbol auf einem Gerät?","Drahtlose Netzwerkverbindung","Bluetooth-Verbindung","USB-Verbindung","Ethernet-Verbindung","A","1","Das WLAN-Symbol zeigt die Verfügbarkeit einer drahtlosen Netzwerkverbindung an.","netzwerk,wlan,symbole"
"IT-Support","Beratung","Was sollte bei der IT-technischen Betreuung einer Rechtsanwaltskanzlei besonders beachtet werden?","Gaming-Performance","Datensicherheit im E-Mail-Verkehr","Social Media Integration","Cloud-Gaming","B","2","Rechtsanwaltskanzleien verarbeiten sensible Mandantendaten, daher ist Datensicherheit essentiell.","support,sicherheit,beratung"
"Hardware","Webseite","Was ist wichtig beim Aufbau und Betrieb einer Kanzlei-Webseite?","Viele Animationen","Hohe Druckqualität","Professionelles Auftreten und Datenschutz","Gaming-Features","C","1","Eine Kanzlei-Webseite muss professionell wirken und DSGVO-konform sein.","webseite,kanzlei,datenschutz"
"Wirtschaft","Entscheidungsmatrix","Wie gewichtet man Kriterien in einer Entscheidungsmatrix?","Alle gleich","Nach Wichtigkeit mit Punkten","Zufällig","Alphabetisch","B","2","Kriterien werden nach ihrer Bedeutung für die Entscheidung gewichtet und mit Punkten bewertet.","entscheidung,matrix,bewertung"
"Hardware","Drucker","Was bedeutet die Angabe '1.200x1.200 dpi' bei einem Drucker?","Druckgeschwindigkeit","Druckauflösung","Papierformat","Speichergröße","B","1","DPI (dots per inch) gibt die Druckauflösung an - je höher, desto detaillierter.","drucker,dpi,auflösung"
"IT-Sicherheit","E-Mail","Welche Sicherheitsmaßnahme ist für E-Mail-Verkehr in Kanzleien essentiell?","Spam-Filter","Verschlüsselung","Autoresponder","Newsletter","B","2","E-Mail-Verschlüsselung schützt vertrauliche Mandantenkommunikation.","email,verschlüsselung,sicherheit"
"Wirtschaft","TCO","Was gehört zu den Total Cost of Ownership eines Druckers?","Nur Anschaffungspreis","Anschaffung + Wartung + Verbrauchsmaterial","Nur Toner","Nur Papier","B","2","TCO umfasst alle Kosten über die gesamte Nutzungsdauer.","tco,drucker,kosten"
"Projektmanagement","Anforderungen","Was sind funktionale Anforderungen?","Kosten","Was das System tun soll","Wie schnell es sein soll","Welche Farbe es hat","B","1","Funktionale Anforderungen beschreiben die gewünschten Funktionen des Systems.","anforderungen,funktional,projekt"
"Netzwerk","Verkabelung","Welcher Kabeltyp eignet sich für Gigabit-Ethernet?","Cat 3","Cat 5e oder höher","Koaxialkabel","Telefonkabel","B","2","Cat 5e unterstützt Gigabit-Ethernet bis 100m Länge.","netzwerk,kabel,ethernet"
"Hardware","Scanner","Was bedeutet die Scangeschwindigkeit '50 Seiten/min'?","50 Seiten pro Minute einseitig","50 Seiten pro Minute beidseitig","50 MB pro Minute","50 DPI pro Minute","A","1","Die Angabe bezieht sich auf einseitiges Scannen pro Minute.","scanner,geschwindigkeit,hardware"
"Wirtschaft","Abschreibung","Über welchen Zeitraum werden IT-Geräte üblicherweise abgeschrieben?","1 Jahr","3 Jahre","10 Jahre","20 Jahre","B","2","IT-Hardware wird üblicherweise über 3 Jahre (36 Monate) abgeschrieben.","abschreibung,hardware,afa"
"Support","Installation","Was ist bei der Ersteinrichtung von Bürogeräten zu beachten?","Nur auspacken","Treiber, Netzwerk, Schulung","Nur anschließen","Nichts Besonderes","B","2","Professionelle Einrichtung umfasst Treiberinstallation, Netzwerkeinbindung und Benutzerschulung.","installation,support,einrichtung"
"Datenschutz","DSGVO","Welche Daten sind nach DSGVO besonders schützenswert?","Öffentliche Daten","Personenbezogene Daten","Wetterdaten","Börsenkurse","B","1","Die DSGVO schützt besonders personenbezogene Daten natürlicher Personen.","dsgvo,datenschutz,personendaten"
"Netzwerk","IP-Konfiguration","Was ist für die Netzwerkeinbindung eines Druckers nötig?","Nur Stromkabel","IP-Adresse, Subnetzmaske, Gateway","Nur USB","Nur WLAN-Passwort","B","2","Für Netzwerkdrucker benötigt man vollständige IP-Konfiguration.","netzwerk,drucker,ip"
"Wirtschaft","Leasing","Was ist ein Vorteil von Geräteleasing?","Sofortiges Eigentum","Geringe monatliche Belastung","Keine Wartung nötig","Unbegrenzte Nutzung","B","2","Leasing verteilt Kosten auf monatliche Raten und schont Liquidität.","leasing,finanzierung,wirtschaft"
"Support","Wartung","Wie oft sollten Bürodrucker gewartet werden?","Nie","Nach Herstellervorgabe/Seitenanzahl","Täglich","Nur bei Defekt","B","2","Regelmäßige Wartung nach Herstellervorgabe sichert Funktionsfähigkeit.","wartung,drucker,service"
"Sicherheit","Backup","Welche Backup-Strategie eignet sich für Kanzleidaten?","Kein Backup","3-2-1 Regel","Nur USB-Stick","Nur Cloud","B","2","3-2-1: 3 Kopien, 2 verschiedene Medien, 1 externe Kopie.","backup,sicherheit,daten"
"Hardware","USB","Was ist der Unterschied zwischen USB Typ A und USB Typ C?","Nur Geschwindigkeit","Form und Ausrichtung","Nur Farbe","Kein Unterschied","B","1","USB-C ist kleiner, symmetrisch und vielseitiger als USB-A.","usb,hardware,anschlüsse"
"Wirtschaft","Nutzungsdauer","Was beeinflusst die wirtschaftliche Nutzungsdauer von IT-Geräten?","Nur Alter","Technischer Fortschritt und Verschleiß","Nur Farbe","Nur Größe","B","2","Technische Entwicklung und physischer Verschleiß bestimmen Nutzungsdauer.","nutzungsdauer,wirtschaft,hardware"
"Support","Dokumentation","Was gehört in eine IT-Dokumentation?","Nur Rechnungen","Konfiguration, Passwörter, Wartung","Nur Fotos","Nur Seriennummern","B","2","Vollständige Dokumentation umfasst alle technischen und administrativen Details.","dokumentation,support,verwaltung"
"Netzwerk","DHCP","Was macht ein DHCP-Server?","Druckt Dokumente","Vergibt IP-Adressen automatisch","Speichert Dateien","Filtert Spam","B","1","DHCP vergibt automatisch IP-Konfigurationen an Netzwerkgeräte.","dhcp,netzwerk,ip"
